filepath,label
data\raw\african_elephant\african_elephant-0148.jpg,african_elephant
data\raw\african_elephant\african_elephant-0145.jpg,african_elephant
data\raw\african_elephant\african_elephant-0296.jpg,african_elephant
data\raw\african_elephant\african_elephant-0310.jpg,african_elephant
data\raw\african_elephant\african_elephant-0264.jpg,african_elephant
data\raw\african_elephant\african_elephant-0075.jpg,african_elephant
data\raw\african_elephant\african_elephant-0255.jpg,african_elephant
data\raw\african_elephant\african_elephant-0078.jpg,african_elephant
data\raw\african_elephant\african_elephant-0251.jpg,african_elephant
data\raw\african_elephant\african_elephant-0086.jpg,african_elephant
data\raw\african_elephant\african_elephant-0089.jpg,african_elephant
data\raw\african_elephant\african_elephant-0158.jpg,african_elephant
data\raw\african_elephant\african_elephant-0304.jpg,african_elephant
data\raw\african_elephant\african_elephant-0306.jpg,african_elephant
data\raw\african_elephant\african_elephant-0172.jpg,african_elephant
data\raw\african_elephant\african_elephant-0307.jpg,african_elephant
data\raw\african_elephant\african_elephant-0326.jpg,african_elephant
data\raw\african_elephant\african_elephant-0027.jpg,african_elephant
data\raw\african_elephant\african_elephant-0204.jpg,african_elephant
data\raw\african_elephant\african_elephant-0026.jpg,african_elephant
data\raw\african_elephant\african_elephant-0152.jpg,african_elephant
data\raw\african_elephant\african_elephant-0308.jpg,african_elephant
data\raw\african_elephant\african_elephant-0159.jpg,african_elephant
data\raw\african_elephant\african_elephant-0054.jpg,african_elephant
data\raw\african_elephant\african_elephant-0067.jpg,african_elephant
data\raw\african_elephant\african_elephant-0066.jpg,african_elephant
data\raw\african_elephant\african_elephant-0176.jpg,african_elephant
data\raw\african_elephant\african_elephant-0020.jpg,african_elephant
data\raw\african_elephant\african_elephant-0216.jpg,african_elephant
data\raw\african_elephant\african_elephant-0218.jpg,african_elephant
data\raw\african_elephant\african_elephant-0157.jpg,african_elephant
data\raw\african_elephant\african_elephant-0247.jpg,african_elephant
data\raw\african_elephant\african_elephant-0196.jpg,african_elephant
data\raw\african_elephant\african_elephant-0011.jpg,african_elephant
data\raw\african_elephant\african_elephant-0262.jpg,african_elephant
data\raw\african_elephant\african_elephant-0163.jpg,african_elephant
data\raw\african_elephant\african_elephant-0123.jpg,african_elephant
data\raw\african_elephant\african_elephant-0039.jpg,african_elephant
data\raw\african_elephant\african_elephant-0202.jpg,african_elephant
data\raw\african_elephant\african_elephant-0169.jpg,african_elephant
data\raw\african_elephant\african_elephant-0095.jpg,african_elephant
data\raw\african_elephant\african_elephant-0035.jpg,african_elephant
data\raw\african_elephant\african_elephant-0038.jpg,african_elephant
data\raw\african_elephant\african_elephant-0319.jpg,african_elephant
data\raw\african_elephant\african_elephant-0243.jpg,african_elephant
data\raw\african_elephant\african_elephant-0081.jpg,african_elephant
data\raw\african_elephant\african_elephant-0174.jpg,african_elephant
data\raw\african_elephant\african_elephant-0318.jpg,african_elephant
data\raw\african_elephant\african_elephant-0100.jpg,african_elephant
data\raw\african_elephant\african_elephant-0325.jpg,african_elephant
data\raw\african_elephant\african_elephant-0160.jpg,african_elephant
data\raw\african_elephant\african_elephant-0245.jpg,african_elephant
data\raw\african_elephant\african_elephant-0135.jpg,african_elephant
data\raw\african_elephant\african_elephant-0047.jpg,african_elephant
data\raw\african_elephant\african_elephant-0338.jpg,african_elephant
data\raw\african_elephant\african_elephant-0090.jpg,african_elephant
data\raw\african_elephant\african_elephant-0238.jpg,african_elephant
data\raw\african_elephant\african_elephant-0213.jpg,african_elephant
data\raw\african_elephant\african_elephant-0147.jpg,african_elephant
data\raw\african_elephant\african_elephant-0284.jpg,african_elephant
data\raw\african_elephant\african_elephant-0201.jpg,african_elephant
data\raw\african_elephant\african_elephant-0128.jpg,african_elephant
data\raw\african_elephant\african_elephant-0091.jpg,african_elephant
data\raw\african_elephant\african_elephant-0181.jpg,african_elephant
data\raw\african_elephant\african_elephant-0049.jpg,african_elephant
data\raw\african_elephant\african_elephant-0073.jpg,african_elephant
data\raw\african_elephant\african_elephant-0222.jpg,african_elephant
data\raw\african_elephant\african_elephant-0097.jpg,african_elephant
data\raw\african_elephant\african_elephant-0273.jpg,african_elephant
data\raw\african_elephant\african_elephant-0171.jpg,african_elephant
data\raw\african_elephant\african_elephant-0063.jpg,african_elephant
data\raw\african_elephant\african_elephant-0106.jpg,african_elephant
data\raw\african_elephant\african_elephant-0168.jpg,african_elephant
data\raw\african_elephant\african_elephant-0170.jpg,african_elephant
data\raw\african_elephant\african_elephant-0012.jpg,african_elephant
data\raw\african_elephant\african_elephant-0211.jpg,african_elephant
data\raw\african_elephant\african_elephant-0178.jpg,african_elephant
data\raw\african_elephant\african_elephant-0297.jpg,african_elephant
data\raw\african_elephant\african_elephant-0223.jpg,african_elephant
data\raw\african_elephant\african_elephant-0071.jpg,african_elephant
data\raw\african_elephant\african_elephant-0180.jpg,african_elephant
data\raw\african_elephant\african_elephant-0010.jpg,african_elephant
data\raw\african_elephant\african_elephant-0124.jpg,african_elephant
data\raw\african_elephant\african_elephant-0105.jpg,african_elephant
data\raw\african_elephant\african_elephant-0239.jpg,african_elephant
data\raw\african_elephant\african_elephant-0337.jpg,african_elephant
data\raw\african_elephant\african_elephant-0107.jpg,african_elephant
data\raw\african_elephant\african_elephant-0134.jpg,african_elephant
data\raw\african_elephant\african_elephant-0250.jpg,african_elephant
data\raw\african_elephant\african_elephant-0209.jpg,african_elephant
data\raw\african_elephant\african_elephant-0092.jpg,african_elephant
data\raw\african_elephant\african_elephant-0260.jpg,african_elephant
data\raw\african_elephant\african_elephant-0267.jpg,african_elephant
data\raw\african_elephant\african_elephant-0347.jpg,african_elephant
data\raw\african_elephant\african_elephant-0044.jpg,african_elephant
data\raw\african_elephant\african_elephant-0342.jpg,african_elephant
data\raw\african_elephant\african_elephant-0285.jpg,african_elephant
data\raw\african_elephant\african_elephant-0008.jpg,african_elephant
data\raw\african_elephant\african_elephant-0313.jpg,african_elephant
data\raw\african_elephant\african_elephant-0179.jpg,african_elephant
data\raw\african_elephant\african_elephant-0276.jpg,african_elephant
data\raw\african_elephant\african_elephant-0317.jpg,african_elephant
data\raw\african_elephant\african_elephant-0007.jpg,african_elephant
data\raw\african_elephant\african_elephant-0094.jpg,african_elephant
data\raw\african_elephant\african_elephant-0060.jpg,african_elephant
data\raw\african_elephant\african_elephant-0114.jpg,african_elephant
data\raw\african_elephant\african_elephant-0155.jpg,african_elephant
data\raw\african_elephant\african_elephant-0272.jpg,african_elephant
data\raw\african_elephant\african_elephant-0056.jpg,african_elephant
data\raw\african_elephant\african_elephant-0132.jpg,african_elephant
data\raw\african_elephant\african_elephant-0228.jpg,african_elephant
data\raw\african_elephant\african_elephant-0234.jpg,african_elephant
data\raw\african_elephant\african_elephant-0025.jpg,african_elephant
data\raw\african_elephant\african_elephant-0311.jpg,african_elephant
data\raw\african_elephant\african_elephant-0104.jpg,african_elephant
data\raw\african_elephant\african_elephant-0119.jpg,african_elephant
data\raw\african_elephant\african_elephant-0101.jpg,african_elephant
data\raw\african_elephant\african_elephant-0032.jpg,african_elephant
data\raw\african_elephant\african_elephant-0189.jpg,african_elephant
data\raw\african_elephant\african_elephant-0121.jpg,african_elephant
data\raw\african_elephant\african_elephant-0074.jpg,african_elephant
data\raw\african_elephant\african_elephant-0291.jpg,african_elephant
data\raw\african_elephant\african_elephant-0220.jpg,african_elephant
data\raw\african_elephant\african_elephant-0212.jpg,african_elephant
data\raw\african_elephant\african_elephant-0286.jpg,african_elephant
data\raw\african_elephant\african_elephant-0070.jpg,african_elephant
data\raw\african_elephant\african_elephant-0210.jpg,african_elephant
data\raw\african_elephant\african_elephant-0269.jpg,african_elephant
data\raw\african_elephant\african_elephant-0341.jpg,african_elephant
data\raw\african_elephant\african_elephant-0061.jpg,african_elephant
